model_type,noise_type,noise_level,noise_fraction,mse,mae,rel_l2,rel_l2_std,avg_ortho_score,std_ortho_score,seed
ortho_layer_ica,harmonic_spatial,0.0,1.0,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,harmonic_spatial,0.0,0.5,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,harmonic_spatial,0.0,0.25,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,harmonic_spatial,0.1,1.0,0.019942915,0.07092927,0.16519478,0.043368913,-3.116433620452881,0.0025962265208363533,777
ortho_layer_ica,harmonic_spatial,0.2,1.0,0.021310905,0.0746461,0.1719384,0.040069923,-3.101292133331299,0.0029028712306171656,777
ortho_layer_ica,harmonic_spatial,0.5,1.0,0.02014444,0.07426713,0.16763455,0.03696188,-3.1031322479248047,0.0018478415440768003,777
ortho_layer_ica,harmonic_spatial,1.0,1.0,0.020085508,0.07439055,0.16792658,0.034501456,-3.101245403289795,0.001365159754641354,777
ortho_layer_ica,bandlimited_lowpass,0.0,1.0,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_lowpass,0.0,0.5,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_lowpass,0.0,0.25,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_lowpass,0.1,1.0,0.019612024,0.071118824,0.16378166,0.042936563,-3.112412214279175,0.0026639956049621105,777
ortho_layer_ica,bandlimited_lowpass,0.2,1.0,0.020617053,0.07367063,0.16897278,0.040214334,-3.0998892784118652,0.0013967336853966117,777
ortho_layer_ica,bandlimited_lowpass,0.5,1.0,0.02103288,0.07535709,0.17113344,0.038701657,-3.097048282623291,0.0023205226752907038,777
ortho_layer_ica,bandlimited_lowpass,1.0,1.0,0.020881731,0.075209856,0.1707319,0.03757998,-3.0967185497283936,0.0019435463473200798,777
ortho_layer_ica,bandlimited_highpass,0.0,1.0,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_highpass,0.0,0.5,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_highpass,0.0,0.25,0.004124567,0.02659013,0.072239615,0.027938012,-3.1760480403900146,0.004921093117445707,777
ortho_layer_ica,bandlimited_highpass,0.1,1.0,0.020706337,0.073936485,0.16905712,0.04110255,-3.1079211235046387,0.0013819922460243106,777
ortho_layer_ica,bandlimited_highpass,0.2,1.0,0.021240788,0.07521908,0.17220622,0.037679657,-3.099630832672119,0.000838418782223016,777
